id;name;description;price;quantity
1;Steel;Assistant;57374;81236
2;support navigate;Chilean reboot Dynamic;70131;46955
3;withdrawal THX Division;Metal;83023;40879
4;Michigan throughput Union;intermediate initiative Generic;32770;54278
5;Ball Small;Computer CFP orange;9548;46269
6;mobile Vermont auxiliary;COM Implementation Awesome;52784;27331
7;withdrawal invoice;Bike Shoes Center;20319;26845
8;pixel methodical quantifying;rich South Forward;79521;23086
9;Computer Arizona mobile;AGP lavender;71562;77577
10;grey solution;Massachusetts Ergonomic Ergonomic;5859;10526
